,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
402,2024-01-17 18:00:00,18.7,28,1,69,158,0
403,2024-01-17 19:00:00,20.3,28,1,72,159,0
404,2024-01-17 20:00:00,14.2,28,1,73,143,0
405,2024-01-17 21:00:00,14.7,28,1,70,182,0
406,2024-01-17 22:00:00,16.6,28,1,70,183,0
407,2024-01-17 23:00:00,15.4,27,1,71,145,0
408,2024-01-18 00:00:00,13.9,27,1,72,126,0
409,2024-01-18 01:00:00,11.6,27,1,73,117,0
410,2024-01-18 02:00:00,9.9,27,1,75,119,0
411,2024-01-18 03:00:00,10.7,27,1,75,129,0
412,2024-01-18 04:00:00,14.4,27,1,75,137,0
413,2024-01-18 05:00:00,22.5,27,1,76,141,0
414,2024-01-18 06:00:00,16.2,27,1,77,156,0
415,2024-01-18 07:00:00,12.9,27,1,74,197,0
416,2024-01-18 08:00:00,17.3,0,0,0,0,0
417,2024-01-18 09:00:00,16.7,0,0,0,0,0
418,2024-01-18 10:00:00,14.3,0,0,0,0,0
419,2024-01-18 11:00:00,13.7,0,0,0,0,0
420,2024-01-18 12:00:00,13.7,0,0,0,0,0
421,2024-01-18 13:00:00,13.6,0,0,0,0,0
422,2024-01-18 14:00:00,15.9,0,0,0,0,0
423,2024-01-18 15:00:00,15.7,0,0,0,0,0
424,2024-01-18 16:00:00,17.4,0,0,0,0,0
425,2024-01-18 17:00:00,20.5,0,0,0,0,0
426,2024-01-18 18:00:00,16.4,0,0,0,0,0
427,2024-01-18 19:00:00,18.4,0,0,0,0,0
428,2024-01-18 20:00:00,18.2,0,0,0,0,0
429,2024-01-18 21:00:00,18.2,0,0,0,0,0
430,2024-01-18 22:00:00,18.4,0,0,0,0,0
431,2024-01-18 23:00:00,9.6,0,0,0,0,0
432,2024-01-19 00:00:00,15.5,0,0,0,0,0
433,2024-01-19 01:00:00,15.5,0,0,0,0,0
434,2024-01-19 02:00:00,11.2,0,0,0,0,0
435,2024-01-19 03:00:00,13.8,0,0,0,0,0
436,2024-01-19 04:00:00,17.6,0,0,0,0,0
437,2024-01-19 05:00:00,25.0,0,0,0,0,0
438,2024-01-19 06:00:00,25.0,0,0,0,0,0
439,2024-01-19 07:00:00,18.2,0,0,0,0,0
440,2024-01-19 08:00:00,17.3,0,0,0,0,0
441,2024-01-19 09:00:00,17.5,0,0,0,0,0
442,2024-01-19 10:00:00,21.7,0,0,0,0,0
443,2024-01-19 11:00:00,17.6,0,0,0,0,0
444,2024-01-19 12:00:00,14.3,31,1,56,182,0
445,2024-01-19 13:00:00,13.6,32,1,55,176,0
446,2024-01-19 14:00:00,10.2,32,1,52,161,0
447,2024-01-19 15:00:00,17.7,32,1,54,172,0
448,2024-01-19 16:00:00,16.5,30,1,60,209,0
449,2024-01-19 17:00:00,15.7,0,0,0,0,0
450,2024-01-19 18:00:00,20.5,0,0,0,0,0
451,2024-01-19 19:00:00,18.7,0,0,0,0,0
452,2024-01-19 20:00:00,19.2,0,0,0,0,0
453,2024-01-19 21:00:00,20.1,0,0,0,0,0
454,2024-01-19 22:00:00,20.9,0,0,0,0,0
455,2024-01-19 23:00:00,17.3,0,0,0,0,0
456,2024-01-20 00:00:00,18.9,0,0,0,0,0
457,2024-01-20 01:00:00,11.8,0,0,0,0,0
458,2024-01-20 02:00:00,11.6,0,0,0,0,0
459,2024-01-20 03:00:00,12.9,0,0,0,0,0
