,DATETIMEDATA,PM25
511,2024-01-22 07:00:00,22.8
512,2024-01-22 08:00:00,22.0
513,2024-01-22 09:00:00,28.1
514,2024-01-22 10:00:00,22.5
515,2024-01-22 11:00:00,21.9
516,2024-01-22 12:00:00,13.5
517,2024-01-22 13:00:00,12.3
518,2024-01-22 14:00:00,10.8
519,2024-01-22 15:00:00,7.9
520,2024-01-22 16:00:00,8.1
521,2024-01-22 17:00:00,9.5
522,2024-01-22 18:00:00,11.3
523,2024-01-22 19:00:00,9.3
524,2024-01-22 20:00:00,8.1
525,2024-01-22 21:00:00,9.9
526,2024-01-22 22:00:00,12.3
527,2024-01-22 23:00:00,16.4
528,2024-01-23 00:00:00,9.8
529,2024-01-23 01:00:00,12.2
530,2024-01-23 02:00:00,13.2
531,2024-01-23 03:00:00,9.7
532,2024-01-23 04:00:00,12.0
533,2024-01-23 05:00:00,10.9
534,2024-01-23 06:00:00,11.4
535,2024-01-23 07:00:00,10.2
536,2024-01-23 08:00:00,7.3
537,2024-01-23 09:00:00,7.2
538,2024-01-23 10:00:00,6.9
539,2024-01-23 11:00:00,9.5
540,2024-01-23 12:00:00,12.4
541,2024-01-23 13:00:00,14.4
542,2024-01-23 14:00:00,13.0
543,2024-01-23 15:00:00,16.4
544,2024-01-23 16:00:00,7.6
545,2024-01-23 17:00:00,14.8
546,2024-01-23 18:00:00,12.3
547,2024-01-23 19:00:00,14.2
548,2024-01-23 20:00:00,13.5
549,2024-01-23 21:00:00,17.6
550,2024-01-23 22:00:00,16.1
551,2024-01-23 23:00:00,11.3
552,2024-01-24 00:00:00,12.7
553,2024-01-24 01:00:00,10.2
554,2024-01-24 02:00:00,13.9
555,2024-01-24 03:00:00,15.9
556,2024-01-24 04:00:00,13.6
557,2024-01-24 05:00:00,13.7
558,2024-01-24 06:00:00,14.4
559,2024-01-24 07:00:00,13.5
560,2024-01-24 08:00:00,15.4
561,2024-01-24 09:00:00,14.3
562,2024-01-24 10:00:00,14.2
563,2024-01-24 11:00:00,13.6
564,2024-01-24 12:00:00,12.8
565,2024-01-24 13:00:00,18.3
566,2024-01-24 14:00:00,15.8
567,2024-01-24 15:00:00,15.5
568,2024-01-24 16:00:00,16.7
569,2024-01-24 17:00:00,15.5
570,2024-01-24 18:00:00,14.3
571,2024-01-24 19:00:00,14.7
572,2024-01-24 20:00:00,15.0
573,2024-01-24 21:00:00,15.7
574,2024-01-24 22:00:00,10.9
575,2024-01-24 23:00:00,8.4
576,2024-01-25 00:00:00,9.3
577,2024-01-25 01:00:00,11.2
578,2024-01-25 02:00:00,19.2
579,2024-01-25 03:00:00,13.0
580,2024-01-25 04:00:00,12.3
581,2024-01-25 05:00:00,12.3
582,2024-01-25 06:00:00,13.5
583,2024-01-25 07:00:00,11.8
584,2024-01-25 08:00:00,7.5
585,2024-01-25 09:00:00,10.0
586,2024-01-25 10:00:00,10.1
587,2024-01-25 11:00:00,9.4
588,2024-01-25 12:00:00,8.4
589,2024-01-25 13:00:00,16.2
590,2024-01-25 14:00:00,17.7
591,2024-01-25 15:00:00,20.6
592,2024-01-25 16:00:00,14.9
593,2024-01-25 17:00:00,12.4
594,2024-01-25 18:00:00,9.6
595,2024-01-25 19:00:00,8.9
596,2024-01-25 20:00:00,18.2
597,2024-01-25 21:00:00,17.2
598,2024-01-25 22:00:00,15.8
599,2024-01-25 23:00:00,14.0
600,2024-01-26 00:00:00,16.2
601,2024-01-26 01:00:00,14.0
602,2024-01-26 02:00:00,10.2
603,2024-01-26 03:00:00,12.5
604,2024-01-26 04:00:00,9.9
605,2024-01-26 05:00:00,7.7
606,2024-01-26 06:00:00,12.6
607,2024-01-26 07:00:00,13.5
608,2024-01-26 08:00:00,9.0
609,2024-01-26 09:00:00,15.8
610,2024-01-26 10:00:00,20.3
611,2024-01-26 11:00:00,14.9
612,2024-01-26 12:00:00,15.5
613,2024-01-26 13:00:00,17.4
614,2024-01-26 14:00:00,17.7
615,2024-01-26 15:00:00,17.9
616,2024-01-26 16:00:00,20.1
617,2024-01-26 17:00:00,16.1
618,2024-01-26 18:00:00,15.7
619,2024-01-26 19:00:00,17.0
620,2024-01-26 20:00:00,22.6
621,2024-01-26 21:00:00,24.2
622,2024-01-26 22:00:00,23.3
623,2024-01-26 23:00:00,16.9
624,2024-01-27 00:00:00,22.9
625,2024-01-27 01:00:00,19.5
626,2024-01-27 02:00:00,14.9
627,2024-01-27 03:00:00,17.8
628,2024-01-27 04:00:00,15.1
629,2024-01-27 05:00:00,19.1
630,2024-01-27 06:00:00,20.3
631,2024-01-27 07:00:00,18.5
632,2024-01-27 08:00:00,14.4
633,2024-01-27 09:00:00,14.5
634,2024-01-27 10:00:00,18.8
635,2024-01-27 11:00:00,13.8
636,2024-01-27 12:00:00,14.0
637,2024-01-27 13:00:00,18.4
638,2024-01-27 14:00:00,21.1
639,2024-01-27 15:00:00,20.2
640,2024-01-27 16:00:00,16.1
641,2024-01-27 17:00:00,14.3
642,2024-01-27 18:00:00,15.5
643,2024-01-27 19:00:00,12.1
644,2024-01-27 20:00:00,13.3
645,2024-01-27 21:00:00,16.7
646,2024-01-27 22:00:00,17.0
647,2024-01-27 23:00:00,13.1
648,2024-01-28 00:00:00,11.8
649,2024-01-28 01:00:00,14.4
650,2024-01-28 02:00:00,24.2
651,2024-01-28 03:00:00,21.0
652,2024-01-28 04:00:00,18.0
653,2024-01-28 05:00:00,13.6
654,2024-01-28 06:00:00,17.6
655,2024-01-28 07:00:00,12.2
656,2024-01-28 08:00:00,13.9
657,2024-01-28 09:00:00,22.1
658,2024-01-28 10:00:00,17.3
659,2024-01-28 11:00:00,13.8
660,2024-01-28 12:00:00,12.4
661,2024-01-28 13:00:00,18.5
662,2024-01-28 14:00:00,14.6
663,2024-01-28 15:00:00,13.1
664,2024-01-28 16:00:00,18.8
665,2024-01-28 17:00:00,18.9
666,2024-01-28 18:00:00,20.8
667,2024-01-28 19:00:00,20.9
668,2024-01-28 20:00:00,21.6
669,2024-01-28 21:00:00,18.3
670,2024-01-28 22:00:00,21.6
671,2024-01-28 23:00:00,14.2
672,2024-01-29 00:00:00,10.8
673,2024-01-29 01:00:00,12.1
674,2024-01-29 02:00:00,21.6
675,2024-01-29 03:00:00,20.0
676,2024-01-29 04:00:00,19.7
677,2024-01-29 05:00:00,15.6
678,2024-01-29 06:00:00,16.2
679,2024-01-29 07:00:00,10.5
680,2024-01-29 08:00:00,15.8
681,2024-01-29 09:00:00,12.1
682,2024-01-29 10:00:00,14.7
683,2024-01-29 11:00:00,16.2
684,2024-01-29 12:00:00,16.9
685,2024-01-29 13:00:00,15.6
686,2024-01-29 14:00:00,19.6
687,2024-01-29 15:00:00,21.4
688,2024-01-29 16:00:00,16.1
689,2024-01-29 17:00:00,25.1
690,2024-01-29 18:00:00,20.1
691,2024-01-29 19:00:00,18.0
692,2024-01-29 20:00:00,20.3
693,2024-01-29 21:00:00,23.5
694,2024-01-29 22:00:00,17.9
695,2024-01-29 23:00:00,10.5
696,2024-01-30 00:00:00,12.2
697,2024-01-30 01:00:00,11.8
698,2024-01-30 02:00:00,18.0
699,2024-01-30 03:00:00,9.6
700,2024-01-30 04:00:00,12.5
701,2024-01-30 05:00:00,12.5
702,2024-01-30 06:00:00,10.4
703,2024-01-30 07:00:00,18.7
704,2024-01-30 08:00:00,17.5
705,2024-01-30 09:00:00,17.2
706,2024-01-30 10:00:00,12.7
707,2024-01-30 11:00:00,14.9
708,2024-01-30 12:00:00,15.3
709,2024-01-30 13:00:00,18.9
710,2024-01-30 14:00:00,15.8
711,2024-01-30 15:00:00,17.4
712,2024-01-30 16:00:00,16.3
713,2024-01-30 17:00:00,21.5
714,2024-01-30 18:00:00,16.4
715,2024-01-30 19:00:00,24.0
716,2024-01-30 20:00:00,21.0
717,2024-01-30 21:00:00,22.1
718,2024-01-30 22:00:00,14.7
719,2024-01-30 23:00:00,14.3
720,2024-01-31 00:00:00,18.0
721,2024-01-31 01:00:00,18.7
722,2024-01-31 02:00:00,23.7
723,2024-01-31 03:00:00,17.1
724,2024-01-31 04:00:00,14.8
